word,shell ccount,all count,proportion,new
plan,454,563,80.64%,0
attempt,445,558,79.75%,0
idea,361,372,97.04%,0
position,332,861,38.56%,0
decision,328,335,97.91%,0
fact,286,290,98.62%,0
effort,286,354,80.79%,0
reason,259,267,97.00%,0
name,256,1228,20.85%,1
role,255,897,28.43%,0
way,235,928,25.32%,0
evidence,230,322,71.43%,0
view,225,382,58.90%,0
right,204,701,29.10%,0
issue,201,454,44.27%,0
ability,200,221,90.50%,0
law,198,439,45.10%,0
theme,193,373,51.74%,0
problem,176,366,48.09%,0
situation,175,235,74.47%,0
opportunity,172,173,99.42%,0
story,158,873,18.10%,0
claim,149,284,52.46%,0
review,143,613,23.33%,1
goal,142,602,23.59%,0
need,136,261,52.11%,0
difficulty,134,171,78.36%,0
title,132,749,17.62%,1
chance,131,138,94.93%,0
request,131,161,81.37%,0
possibility,129,130,99.23%,0
choice,128,168,76.19%,0
opinion,125,142,88.03%,0
action,125,605,20.66%,0
occasion,120,130,92.31%,0
order,119,786,15.14%,0
condition,117,308,37.99%,0
move,113,472,23.94%,0
objective,112,126,88.89%,0
question,110,152,72.37%,0
feeling,109,186,58.60%,0
proposal,104,105,99.05%,0
task,104,178,58.43%,0
failure,103,150,68.67%,0
result,102,649,15.72%,0
route,101,887,11.39%,1
belief,101,125,80.80%,0
purpose,100,183,54.64%,0
experience,98,308,31.82%,0
desire,97,117,82.91%,0
feature,97,667,14.54%,0
option,96,101,95.05%,0
duty,95,149,63.76%,0
work,94,1766,5.32%,1
concept,92,191,48.17%,0
theory,90,155,58.06%,0
record,89,1209,7.36%,1
demand,87,133,65.41%,0
information,86,224,38.39%,0
interest,84,312,26.92%,0
case,84,534,15.73%,0
time,84,4005,2.10%,0
intention,83,83,100.00%,0
mission,83,279,29.75%,0
event,81,819,9.89%,0
power,80,786,10.18%,0
risk,79,145,54.48%,0
vision,78,124,62.90%,0
reference,75,231,32.47%,1
call,75,291,25.77%,0
offer,74,222,33.33%,0
hope,73,154,47.40%,0
argument,71,75,94.67%,0
conclusion,70,85,82.35%,0
example,70,485,14.43%,0
circumstance,67,78,85.90%,1
impression,67,75,89.33%,0
requirement,66,66,100.00%,0
cause,66,278,23.74%,0
statement,64,142,45.07%,0
nomination,63,139,45.32%,1
warning,63,116,54.31%,0
difference,63,131,48.09%,0
function,63,131,48.09%,0
success,62,389,15.94%,1
response,62,284,21.83%,0
term,61,511,11.94%,1
history,61,733,8.32%,1
estimate,61,93,65.59%,0
challenge,61,143,42.66%,0
bid,60,125,48.00%,0
thought,59,536,11.01%,0
line,59,1310,4.50%,0
danger,58,70,82.86%,0
job,58,237,24.47%,0
authority,58,331,17.52%,0
doubt,56,90,62.22%,0
point,56,985,5.69%,0
number,55,1837,2.99%,1
fear,55,135,40.74%,0
potential,54,160,33.75%,0
thing,54,367,14.71%,0
source,53,364,14.56%,1
observation,53,132,40.15%,0
agreement,53,154,34.42%,0
detail,52,193,26.94%,1
word,52,426,12.21%,1
suggestion,52,52,100.00%,0
speculation,52,55,94.55%,0
change,52,554,9.39%,0
lack,51,298,17.11%,1
date,50,417,11.99%,1
wish,49,106,46.23%,0
permission,48,58,82.76%,0
aim,48,89,53.93%,0
dream,48,127,37.80%,0
sense,47,177,26.55%,1
perspective,47,78,60.26%,0
responsibility,47,116,40.52%,0
threat,46,177,25.99%,0
loss,45,128,35.16%,1
will,45,908,4.96%,1
policy,45,187,24.06%,0
charge,45,257,17.51%,0
area,45,1799,2.50%,0
ambition,44,46,95.65%,0
concern,44,165,26.67%,0
sign,44,177,24.86%,0
approach,44,249,17.67%,0
matter,43,181,23.76%,1
letter,43,298,14.43%,1
location,42,349,12.03%,1
allegation,42,42,100.00%,0
invitation,42,42,100.00%,0
emphasis,41,60,68.33%,1
advantage,41,190,21.58%,0
destination,40,64,62.50%,1
controversy,40,104,38.46%,1
restriction,39,51,76.47%,0
commitment,39,64,60.94%,0
contribution,39,97,40.21%,0
delay,38,81,46.91%,1
injury,38,211,18.01%,1
accusation,38,40,95.00%,0
rumor,38,40,95.00%,0
sentiment,38,51,74.51%,0
project,37,599,6.18%,1
notion,37,39,94.87%,0
complaint,37,51,72.55%,0
instruction,37,62,59.68%,0
rate,36,257,14.01%,1
promise,36,55,65.45%,0
rule,36,311,11.58%,0
application,35,92,38.04%,0
factor,35,122,28.69%,0
activity,34,358,9.50%,1
prospect,34,44,77.27%,0
advice,34,57,59.65%,0
ruling,34,65,52.31%,0
method,34,199,17.09%,0
tradition,34,208,16.35%,0
preparation,33,103,32.04%,1
study,33,557,5.92%,1
expectation,33,33,100.00%,0
aspect,33,187,17.65%,0
streak,32,76,42.11%,1
cost,32,249,12.85%,1
scene,32,565,5.66%,1
strategy,32,98,32.65%,0
truth,32,128,25.00%,0
step,32,148,21.62%,0
intent,31,40,77.50%,1
mistake,31,40,77.50%,0
trouble,31,109,28.44%,0
rumor,30,30,100.00%,1
exception,30,99,30.30%,0
finding,30,147,20.41%,0
verdict,29,33,87.88%,0
conviction,29,35,82.86%,0
perception,29,45,64.44%,0
practice,29,249,11.65%,0
reputation,28,96,29.17%,1
use,28,1245,2.25%,1
damage,27,479,5.64%,1
criterion,27,30,90.00%,0
recommendation,27,37,72.97%,0
attitude,27,67,40.30%,0
understanding,27,74,36.49%,0
importance,27,135,20.00%,0
act,27,449,6.01%,0
trend,26,54,48.15%,0
motion,26,128,20.31%,0
deal,26,267,9.74%,0
place,26,1038,2.50%,0
status,25,229,10.92%,1
list,25,441,5.67%,1
award,25,813,3.08%,1
description,25,112,22.32%,0
knowledge,25,143,17.48%,0
reaction,25,217,11.52%,0
report,25,440,5.68%,0
essay,24,82,29.27%,1
instance,24,102,23.53%,1
increase,24,277,8.66%,1
win,24,601,3.99%,1
love,24,643,3.73%,1
tendency,24,26,92.31%,0
indication,24,27,88.89%,0
message,24,124,19.35%,0
stance,23,30,76.67%,0
appointment,23,63,36.51%,0
approval,22,61,36.07%,1
rise,22,166,13.25%,1
death,22,890,2.47%,1
flaw,22,23,95.65%,0
error,22,62,35.48%,0
scheme,22,84,26.19%,0
characteristic,22,137,16.06%,0
motive,21,23,91.30%,1
variation,21,105,20.00%,1
memory,21,146,14.38%,1
value,21,186,11.29%,1
direction,21,209,10.05%,1
obligation,21,22,95.45%,0
plea,21,25,84.00%,0
scenario,21,38,55.26%,0
capability,21,40,52.50%,0
announcement,21,48,43.75%,0
myth,21,54,38.89%,0
skill,21,98,21.43%,0
target,21,150,14.00%,0
technique,21,190,11.05%,0
contract,21,281,7.47%,0
gap,20,67,29.85%,1
appearance,20,521,3.84%,1
war,20,1920,1.04%,1
consent,20,42,47.62%,0
focus,19,150,12.67%,1
shot,19,451,4.21%,1
objection,19,22,86.36%,0
assumption,19,24,79.17%,0
decree,19,25,76.00%,0
petition,19,32,59.38%,0
topic,19,49,38.78%,0
initiative,19,89,21.35%,0
moment,19,212,8.96%,0
image,19,396,4.80%,0
poll,18,77,23.38%,1
entry,18,105,17.14%,1
origin,18,137,13.14%,1
datum,18,142,12.68%,1
attention,18,178,10.11%,1
determination,18,22,81.82%,0
quest,18,38,47.37%,0
period,18,763,2.36%,0
hypothesis,17,21,80.95%,1
invention,17,29,58.62%,1
lawsuit,17,41,41.46%,1
adventure,17,141,12.06%,1
journey,17,152,11.18%,1
meaning,17,208,8.17%,1
mean,17,299,5.69%,1
premise,17,37,45.95%,0
fate,17,70,24.29%,0
solution,17,71,23.94%,0
struggle,17,91,18.68%,0
tactic,17,102,16.67%,0
measure,17,188,9.04%,0
news,17,257,6.61%,0
account,17,264,6.44%,0
pressure,17,278,6.12%,0
dispute,16,76,21.05%,1
visit,16,201,7.96%,1
amount,16,224,7.14%,1
loss,16,296,5.41%,1
note,16,411,3.89%,1
start,16,507,3.16%,1
attack,16,861,1.86%,1
inability,16,16,100.00%,0
refusal,16,17,94.12%,0
explanation,16,31,51.61%,0
limitation,16,32,50.00%,0
sin,16,42,38.10%,0
interpretation,16,60,26.67%,0
comment,16,114,14.04%,0
appeal,16,154,10.39%,0
part,16,1948,0.82%,0
noise,15,43,34.88%,1
phase,15,150,10.00%,1
incident,15,152,9.87%,1
rating,15,206,7.28%,1
bill,15,260,5.77%,1
influence,15,288,5.21%,1
probability,15,16,93.75%,0
suspicion,15,22,68.18%,0
praise,15,88,17.05%,0
discovery,15,106,14.15%,0
age,15,599,2.50%,0
specification,14,22,63.64%,1
inscription,14,118,11.86%,1
path,14,146,9.59%,1
article,14,149,9.40%,1
quality,14,198,7.07%,1
wave,14,217,6.45%,1
sound,14,348,4.02%,1
design,14,507,2.76%,1
privilege,14,23,60.87%,0
reasoning,14,24,58.33%,0
innovation,14,35,40.00%,0
remark,14,39,35.90%,0
symptom,14,39,35.90%,0
passion,14,56,25.00%,0
criticism,14,127,11.02%,0
connection,14,131,10.69%,0
ground,14,535,2.62%,0
willingness,13,13,100.00%,1
deadline,13,27,48.15%,1
statistic,13,51,25.49%,1
limit,13,99,13.13%,1
victory,13,437,2.97%,1
remain,13,488,2.66%,1
assertion,13,15,86.67%,0
preference,13,21,61.90%,0
legend,13,106,12.26%,0
campaign,13,446,2.91%,0
allusion,12,20,60.00%,1
confusion,12,46,26.09%,1
discussion,12,85,14.12%,1
opposition,12,106,11.32%,1
mode,12,112,10.71%,1
analysis,12,137,8.76%,1
frustration,12,24,50.00%,0
amendment,12,40,30.00%,0
declaration,12,51,23.53%,0
ideal,12,54,22.22%,0
improvement,12,84,14.29%,0
accident,12,93,12.90%,0
capacity,12,102,11.76%,0
fantasy,12,141,8.51%,0
vibe,11,20,55.00%,1
bias,11,27,40.74%,1
expense,11,44,25.00%,1
wound,11,53,20.75%,1
commentary,11,65,16.92%,1
honor,11,97,11.34%,1
vote,11,133,8.27%,1
look,11,252,4.37%,1
process,11,317,3.47%,1
movement,11,328,3.35%,1
operation,11,829,1.33%,1
form,11,942,1.17%,1
book,11,1004,1.10%,1
pledge,11,14,78.57%,0
motivation,11,20,55.00%,0
prediction,11,23,47.83%,0
forecast,11,33,33.33%,0
distinction,11,34,32.35%,0
outcome,11,41,26.83%,0
notice,11,66,16.67%,0
benefit,11,79,13.92%,0
plot,11,211,5.21%,0
ordinance,10,17,58.82%,1
posture,10,19,52.63%,1
wage,10,30,33.33%,1
gift,10,74,13.51%,1
category,10,137,7.30%,1
degree,10,203,4.93%,1
distance,10,226,4.42%,1
novel,10,460,2.17%,1
road,10,1107,0.90%,1
day,10,2162,0.46%,1
song,10,2760,0.36%,1
instinct,10,12,83.33%,0
likelihood,10,17,58.82%,0
judgment,10,19,52.63%,0
guarantee,10,23,43.48%,0
obstacle,10,47,21.28%,0
provision,10,49,20.41%,0
tale,10,137,7.30%,0
shortage,9,43,20.93%,1
prayer,9,45,20.00%,1
emotion,9,64,14.06%,1
phrase,9,67,13.43%,1
footage,9,83,10.84%,1
investigation,9,130,6.92%,1
search,9,151,5.96%,1
eye,9,331,2.72%,1
turn,9,359,2.51%,1
find,9,464,1.94%,1
state,9,2833,0.32%,1
grievance,9,13,69.23%,0
excuse,9,15,60.00%,0
